"id","full_name","age","gender","device_type","ad_position","browsing_history","time_of_day","click","row_id"
998,"user998",40,"female","tablet","top","entertaiment","evening",1,1
8226,"user8226",40,"male","tablet","top","entertaiment","morning",1,2
9418,"user9418",20,"male","tablet","side","news","night",1,3
9220,"user9220",21,"female","mobile","side","social media","night",1,4
1420,"user1420",62,"non-binary","desktop","bottom","news","morning",1,5
2485,"user2485",57,"non-binary","mobile","bottom","news","night",1,6
4841,"user4841",21,"female","desktop","side","education","evening",0,7
8190,"user8190",26,"female","mobile","side","entertaiment","afternoon",1,8
1140,"user1140",28,"male","desktop","side","entertaiment","evening",0,9
8316,"user8316",40,"male","desktop","bottom","entertaiment","morning",0,10
3149,"user3149",40,"male","desktop","top","entertaiment","night",0,11
3601,"user3601",40,"non-binary","mobile","bottom","entertainment","afternoon",1,12
9290,"user9290",61,"female","desktop","bottom","entertainment","afternoon",1,13
5629,"user5629",40,"female","tablet","top","entertaiment","night",1,14
5258,"user5258",50,"non-binary","desktop","side","education","night",0,15
9748,"user9748",47,"non-binary","tablet","bottom","entertainment","afternoon",0,16
4086,"user4086",40,"female","desktop","top","entertainment","morning",1,17
670,"user670",22,"female","desktop","top","shopping","afternoon",1,18
9400,"user9400",40,"non-binary","mobile","side","education","night",1,19
9431,"user9431",40,"male","mobile","top","entertainment","afternoon",1,21
885,"user885",49,"female","tablet","side","entertaiment","afternoon",0,22
6449,"user6449",42,"female","desktop","top","shopping","night",1,23
9699,"user9699",40,"female","desktop","bottom","shopping","morning",0,24
3044,"user3044",34,"male","desktop","top","news","night",1,25
2809,"user2809",40,"non-binary","desktop","top","news","afternoon",0,26
7866,"user7866",51,"female","mobile","top","social media","morning",1,27
4089,"user4089",40,"non-binary","tablet","bottom","entertaiment","afternoon",0,28
1110,"user1110",43,"female","mobile","side","entertainment","morning",0,29
5912,"user5912",41,"non-binary","mobile","side","education","night",1,30
9896,"user9896",45,"female","desktop","side","entertaiment","afternoon",0,31
5418,"user5418",34,"male","mobile","top","entertainment","evening",1,32
1503,"user1503",19,"female","tablet","side","entertaiment","afternoon",1,33
571,"user571",40,"male","tablet","bottom","social media","afternoon",0,34
2885,"user2885",40,"non-binary","desktop","bottom","education","afternoon",0,35
9452,"user9452",39,"non-binary","desktop","bottom","social media","morning",0,36
1190,"user1190",40,"non-binary","tablet","bottom","education","morning",1,37
8068,"user8068",40,"female","mobile","side","shopping","afternoon",0,38
5082,"user5082",44,"female","mobile","top","shopping","afternoon",1,39
7591,"user7591",40,"male","desktop","top","entertaiment","night",0,40
1345,"user1345",34,"female","desktop","top","entertainment","morning",0,41
4938,"user4938",28,"male","desktop","side","social media","evening",1,42
5942,"user5942",40,"non-binary","tablet","bottom","social media","evening",1,43
7808,"user7808",26,"female","desktop","top","entertaiment","night",1,44
5531,"user5531",34,"male","desktop","top","news","night",1,45
